pid;uid;name;events
51331;4086;powershell.exe;{DISK:[commit, fsync, truncate, write]# DISK:[read, write, append, commit]# RAM:[malloc, calloc, memcpy]# DISK:[append, commit]# CPU:[pop, sub, mod, inc, call, test, loop]}
47122;642;services.exe;{DISK:[fsync, sync, sync, rename, flush, rename, fsync]# RAM:[store, free, free, fetch, alloc, memcpy, alloc]# CPU:[sub, mov]# CPU:[div, loop, jump]# CPU:[mul, pop, inc, inc, mov, xor, test]}
57160;731;powershell.exe;{DISK:[mount, close, flush, append, open, seek]# RAM:[cache, free, store]# CPU:[sub, push]# RAM:[release, fetch, fetch]# DISK:[rename, close, fsync, unlink, append]# CPU:[inc, shift, inc, mov, call, add, call, push]# RAM:[fetch, store]}
19520;25;taskmgr.exe;{DISK:[append, mount, flush, close, read, sync]# CPU:[add, dec, inc, dec, inc, add, div, test]# DISK:[flush, read, unlink]# DISK:[fsync, close, close, truncate, mount, truncate, sync]}
69402;98;netstat.exe;{CPU:[sub, loop, mov, ret, pop]# DISK:[append, seek, mount, unlink, seek, sync, commit, open]# CPU:[shift, loop, mov, xor, inc]# DISK:[append, mount, mount]# DISK:[seek, fsync, flush, open, commit, mount, sync, mount]# CPU:[xor, sub, xor, loop, xor, mod]# CPU:[sub, mul, push, ret, ret]}
54724;25;gradle.exe;{DISK:[seek, append, commit, flush, truncate, open, truncate]# RAM:[write, release, free, cache, copy, memcpy, store, alloc]# DISK:[flush, seek, open, sync, write, unlink, open]# CPU:[add, div, jump, push, call]# DISK:[open, mount, sync, read]}
55995;1024;ftp.exe;{RAM:[calloc, load]# RAM:[memcpy, copy, malloc, write, write, alloc]# CPU:[add, xor, mul, push, call, div, loop, inc]# CPU:[ret, loop, jmp, div, test, push]}
11014;219;cmd.exe;{CPU:[cmp, ret, push, add, mul]# CPU:[jump, inc, call]# DISK:[close, truncate, flush, append, rename, open, unlink, seek]# RAM:[cache, calloc, calloc, cache, write, calloc, copy, calloc]# RAM:[alloc, free, move]}
83656;4086;ssh.exe;{DISK:[fsync, open, rename]# RAM:[calloc, fetch, cache, store, malloc, store]# CPU:[sub, loop]}
24752;25;ssh.exe;{CPU:[dec, inc, shift, add, inc, loop, mul]# CPU:[div, jmp, ret, div, mov, jump, test, test]# DISK:[close, rename, unlink, write, commit, rename]# CPU:[inc, xor, pop, ret, shift, pop, sub, div]# CPU:[jump, push, mod, jump]}
36887;219;docker.exe;{DISK:[write, append, mount, close]# RAM:[read, read, load, store, alloc]# DISK:[fsync, read]}
68906;98;netstat.exe;{RAM:[write, load]# RAM:[write, alloc, move, free]# DISK:[write, flush, seek, mount, mount, fsync, rename, truncate]}
99038;642;cmd.exe;{DISK:[close, truncate, mount, truncate, open, mount, write, sync]# CPU:[shift, mul, inc, push]# DISK:[read, write]# CPU:[add, div, test, sub, test, dec]# RAM:[write, load, alloc, move, copy, calloc]# CPU:[inc, call]# CPU:[mov, div, add, test, cmp, jump, call]}
96813;1507;gradle.exe;{RAM:[malloc, copy]# RAM:[calloc, memcpy, calloc, release, free, fetch]# DISK:[seek, sync, flush]# DISK:[sync, flush, fsync, truncate, mount, unlink, read]}
53121;98;docker.exe;{RAM:[free, move, release, write]# DISK:[mount, open, commit, append, seek]# CPU:[mov, cmp, push, jump, mov]# CPU:[mov, div, xor, jump, sub, xor, xor, sub]# DISK:[open, sync]# CPU:[push, div, mov]# CPU:[cmp, div, add, shift, div, inc, cmp]}
58698;314;taskmgr.exe;{RAM:[cache, cache, malloc, copy]# DISK:[append, open, flush, fsync]# DISK:[flush, sync, unlink]}
24741;1507;control.exe;{RAM:[load, cache, read, load, read]# RAM:[alloc, read, calloc, release, read]# DISK:[truncate, mount, flush, sync, write]# RAM:[load, load, alloc]}
55956;25;mvn.exe;{CPU:[loop, dec, pop, xor, loop, cmp]# DISK:[mount, fsync, append, sync, mount, read, append, flush]# RAM:[read, calloc, free]# DISK:[sync, flush, truncate, truncate, open]# CPU:[push, dec]# DISK:[close, write, mount, fsync]# DISK:[rename, mount, close, sync, seek, write]}
74438;87;ping.exe;{RAM:[free, calloc, malloc, copy, release, move, move, calloc]# DISK:[open, append, truncate]# CPU:[add, inc, ret]# RAM:[store, read, fetch, free, alloc, write]# DISK:[close, rename, sync, mount]}
91329;56;ssh.exe;{DISK:[open, fsync, commit, commit, commit]# RAM:[cache, fetch]# DISK:[flush, unlink, seek]# RAM:[fetch, calloc, free, copy]}
43803;4086;ping.exe;{DISK:[close, write]# CPU:[jump, xor, shift, sub, cmp, loop]# RAM:[memcpy, write, write, malloc, copy, fetch]# DISK:[flush, close, flush]# CPU:[div, sub, push, add]# DISK:[write, mount, open, commit, append]}
